surveyid,Area_sqm,NEAR_DIST,survey_yea,focal_patch_size,habitat_amount,num_patches,mean_patch_size,max_patch_size,total_edge,edge_density,prop_habitat,dist_to_habitat,full_patch_area,patch_density,mean_patch_index,year,hypothesis
138404,2766209.59953,0,2010,1519728.6300960358,2600386.8624730483,8,325048.35780913103,1519728.6300960358,28792.55095613351,0.01107241056000064,0.8277288462276206,0,2766209.59953,2.5464790894703255,12.5,2010,3
148288,230693.850128,0,2010,230693.85012767417,1368055.845542491,24,57002.32689760379,432179.0801154234,26564.624929726015,0.01941779278695457,0.43546570048769984,0,230693.850128,7.639437268410976,4.166666666666666,2010,3
149050,491571.851711,0,2010,432179.0801154234,1235109.2904499809,28,44111.046087499315,491571.85171116935,25512.02758773995,0.020655684306645678,0.39314749766767587,0,491571.851711,8.91267681314614,3.571428571428571,2010,3
139090,2766209.59953,0,2010,1519728.6300960358,2279806.9201719896,12,189983.91001433248,1503923.384239188,28763.103956105308,0.012616464886392838,0.7256850812809644,0,2766209.59953,3.819718634205488,8.333333333333334,2010,3
149435,491571.851711,0,2010,432179.0801154234,1291399.2734446726,24,53808.303060194696,491571.85171116935,25217.696186393463,0.019527420144141706,0.41106515574800373,0,491571.851711,7.639437268410976,4.166666666666667,2010,3
137172,2766209.59953,0,2010,1259533.1010148698,2164010.4012620943,19,113895.28427695233,1259533.1010148698,29497.246200631307,0.01363082459466365,0.6888259045262765,0,2766209.59953,6.047887837492023,5.263157894736842,2010,3
137933,1495308.74959,0,2010,960886.7267272875,2232302.32457371,10,223230.232457371,1213346.5154460343,27118.77635706532,0.012148343913158822,0.7105638988628691,0,1495308.74959,3.183098861837907,10,2010,3
150110,4560.80817431,0,2010,4560.808174308389,21875.87657586881,4,5468.969143967202,15652.729421129217,1786.139564239866,0.08164882253039174,0.0069633077830354535,0,4560.80817431,1.2732395447351628,25,2010,3
150693,0,332.052295421,2010,0,31985.414040375268,6,5330.902340062545,15652.729421129217,2673.1633673774986,0.08357444940381756,0.010181273502733273,332.052295421,0,1.909859317102744,16.666666666666664,2010,3
152551,882289.365399,0,2010,882289.365399471,1361037.6289851211,19,71633.55942026954,882289.365399471,15662.501072527999,0.011507764913308816,0.43323173277411026,0,882289.365399,6.047887837492023,5.2631578947368425,2010,3
150596,0,190.710176107,2010,0,21875.87657586881,4,5468.969143967202,15652.729421129217,1786.139564239866,0.08164882253039174,0.0069633077830354535,190.710176107,0,1.2732395447351628,25,2010,3
152355,882289.365399,0,2010,882289.365399471,1940422.0555372678,7,277203.15079103824,879963.9371984513,17891.94379359391,0.009220645448002782,0.6176555236465849,0,882289.365399,2.228169203286535,14.285714285714285,2010,3
150402,2766209.59953,0,2010,738315.6982789985,1632467.8253910975,21,77736.56311386179,738315.6982789985,30708.159017064867,0.018810881623169497,0.5196306476989405,0,2766209.59953,6.684507609859605,4.761904761904763,2010,3
150790,2766209.59953,0,2010,738315.6982789985,1598351.8707070977,20,79917.59353535488,772692.309557219,31559.802980632405,0.019745216030979843,0.5087712020464252,0,2766209.59953,6.366197723675814,5,2010,3
156280,391344.190348,0,2010,296778.86457946105,2020681.4895523225,11,183698.3172320293,428599.08906817203,23215.44705623097,0.011488919543363708,0.6432028949530925,0,391344.190348,3.5014087480216975,9.09090909090909,2010,3
153612,0,15.3916296602,2010,0,1694508.5039311477,9,188278.72265901644,871475.7804530174,19452.839022984692,0.011479930007937636,0.5393788090237891,15.3916296602,0,2.864788975654116,11.111111111111112,2010,3
151765,2766209.59953,0,2010,1259533.1010148698,1642558.1596928765,19,86450.42945751981,987029.732060727,30398.446959006145,0.01850677053937013,0.5228425008620963,0,2766209.59953,6.047887837492023,5.263157894736842,2010,3
141482,1106340.33662,0,2010,700154.1653726846,2322911.4249892724,19,122258.49605206697,703762.9524886506,26481.069917705485,0.011399948199844847,0.7394056713033623,0,1106340.33662,6.047887837492023,5.2631578947368425,2010,3
142623,1916327.20541,0,2010,1243795.5663463806,2509923.1009283205,11,228174.82735712006,1243795.5663463806,25759.81377633656,0.010263188448605867,0.7989333365865607,0,1916327.20541,3.5014087480216975,9.090909090909092,2010,3
144434,1916327.20541,0,2010,1243795.5663463806,2295998.077844401,11,208727.09798585463,1078130.058729468,26446.69099525669,0.01151860328214481,0.7308388868368535,0,1916327.20541,3.5014087480216975,9.090909090909092,2010,3
